"ExperimentID","SiteID","PondID","StrainID","Date","pH","Temp.avg (C)","Temp.max (C)","Temp.min (C)","Cond (mS.cm)","DO (mg.L)","DO (%sat)","Sal (g.L)","PAR (umol.m2.s)"
"SEP102014","ASU","P1","KA32","09-10-2014",7.84,29.47,33,25.5,51679.85,7.02,111.85,33.84,
"SEP102014","ASU","P2","KA32","09-10-2014",7.76,29.9,33.3,25.7,52593.52,6.79,109.28,34.5,
"SEP102014","ASU","P3","KA32","09-10-2014",7.85,29.68,33,25.7,49364.52,6.84,108.28,32.13,
"SEP102014","ASU","P4","KA32","09-10-2014",7.91,,,,51136.61,6,97.36,33.4,
"SEP102014","ASU","P5","KA32","09-10-2014",7.24,29.15,32.7,25.4,51381.31,5.18,81.93,33.64,
"SEP102014","ASU","P6","KA32","09-10-2014",0.08,29.46,33,25.6,50789.41,5.45,86.49,33.19,831.9
"SEP102014","ASU","P1","KA32","09-11-2014",7.85,27.25,32.6,22.8,51285.77,7.7,118.27,33.61,
"SEP102014","ASU","P2","KA32","09-11-2014",7.86,27.39,32.8,22.8,53173.18,8.33,129.24,35.01,
"SEP102014","ASU","P3","KA32","09-11-2014",7.94,27.33,32.7,22.9,50677.88,7.74,118.86,33.16,
"SEP102014","ASU","P4","KA32","09-11-2014",7.91,,,,52543.6,6.84,107.66,34.51,
"SEP102014","ASU","P5","KA32","09-11-2014",7.65,27.14,32.6,22.7,51478.14,5.56,85.41,33.76,
"SEP102014","ASU","P6","KA32","09-11-2014",1.47,27.36,32.8,23,50970.93,5.97,91.74,33.43,576.3
"SEP102014","ASU","P1","KA32","09-12-2014",7.86,24.87,30,22.5,51421.13,7.59,112.02,33.78,
"SEP102014","ASU","P2","KA32","09-12-2014",7.81,27.4,32.9,22.5,53097,8.79,136.8,34.94,
"SEP102014","ASU","P3","KA32","09-12-2014",7.93,27.43,32.9,22.6,51961.1,8.09,125.6,34.1,
"SEP102014","ASU","P4","KA32","09-12-2014",7.91,,,,53126.92,7.03,111.43,34.94,
"SEP102014","ASU","P5","KA32","09-12-2014",7.82,27.32,32.8,22.4,51927.8,5.77,89.22,34.08,
"SEP102014","ASU","P6","KA32","09-12-2014",6.63,27.71,33.4,22.7,50356.19,5.74,88.65,32.98,573.22
"SEP102014","ASU","P1","KA32","09-13-2014",7.82,23.59,25.3,21.7,52693.04,6.98,101.09,34.75,
"SEP102014","ASU","P2","KA32","09-13-2014",7.89,25.23,30,21.7,53386.9,9.43,141.67,35.22,
"SEP102014","ASU","P3","KA32","09-13-2014",7.94,25.28,30.2,21.8,53062.89,8.8,132.34,34.98,
"SEP102014","ASU","P4","KA32","09-13-2014",7.92,,,,53092.86,7.52,115.12,34.98,
"SEP102014","ASU","P5","KA32","09-13-2014",7.85,25.05,29.9,21.6,52161.83,6.37,94.98,34.33,
"SEP102014","ASU","P6","KA32","09-13-2014",7.6,25.5,30.3,21.9,51848.49,6.27,94,34.08,559.07
"SEP102014","ASU","P1","KA32","09-14-2014",7.91,25.91,30.9,21.1,51413.51,9.02,135.87,33.74,
"SEP102014","ASU","P2","KA32","09-14-2014",7.89,25.93,31.2,20.7,53069.49,9.13,138.59,34.96,
"SEP102014","ASU","P3","KA32","09-14-2014",7.95,25.93,31,20.9,52028.03,8.46,127.95,34.2,
"SEP102014","ASU","P4","KA32","09-14-2014",7.92,,,,52196.01,7.56,116.51,34.29,
"SEP102014","ASU","P5","KA32","09-14-2014",7.81,25.74,30.8,20.7,50735.14,6.13,91.92,33.25,
"SEP102014","ASU","P6","KA32","09-14-2014",7.74,26.14,31.3,21,50606.83,6.1,91.81,33.14,572.18
"SEP102014","ASU","P1","KA32","09-15-2014",7.95,29.27,32.7,23.2,52122.14,9.65,153.62,34.17,
"SEP102014","ASU","P2","KA32","09-15-2014",7.92,27.52,32.9,23.2,53408.23,9.18,143.4,35.17,
"SEP102014","ASU","P3","KA32","09-15-2014",7.95,27.46,32.8,23.3,52422.66,8.43,131.19,34.45,
"SEP102014","ASU","P4","KA32","09-15-2014",7.95,,,,51617.05,7.59,119.79,33.84,
"SEP102014","ASU","P5","KA32","09-15-2014",7.85,27.4,32.7,23.1,50724.79,6.27,96.73,33.2,
"SEP102014","ASU","P6","KA32","09-15-2014",8.67,27.63,33,23.4,50946.09,6.01,92.88,33.36,556.01
"SEP102014","ASU","P1","KA32","09-16-2014",7.88,24.44,25.4,23.7,51676.11,7.86,114.5,33.99,
"SEP102014","ASU","P2","KA32","09-16-2014",7.92,24.5,25.5,23.7,52883.55,8.45,123.72,34.88,
"SEP102014","ASU","P3","KA32","09-16-2014",7.96,24.48,25.4,23.7,52152.11,7.64,111.53,34.34,
